Date,Libelle,Debit,Credit
01/07/2026,SALAIRE JUILLET,,120000
02/07/2026,LOYER APPARTEMENT,35000,
03/07/2026,CARREFOUR MARKET,4200,
04/07/2026,DJEZZU RECHARGE,1000,
05/07/2026,NAFTAL STATION SERVICE,2500,
06/07/2026,RESTAURANT LE JARDIN,1800,
07/07/2026,RETRAIT GAB CENTRE VILLE,10000,
08/07/2026,PHARMACIE EL AMEL,900,
10/07/2026,SONELGAZ FACTURE,3200,
12/07/2026,NETFLIX ABONNEMENT,1300,
15/07/2026,VIREMENT VERS COMPTE EPARGNE,20000,
18/07/2026,UNO SUPERMARCHE,5600,
20/07/2026,YASSIR COURSE,450,
22/07/2026,CAFE CENTRAL,350,
25/07/2026,ACHAT INCONNU XYZ,2200,
